tweetid,status,created_at,userid,nickname,status_count,verified,verified_type,follower_count,gender,rank,reposts_count,like_count,follower_count,follow_count,comments_count
4089872710978616,【人民日报批“济南公安怼网友”：别把官微当菜园子】“辱母杀人案”被报道后，@济南公安 发布毛驴撞大巴图片，疑似怼网友。对此，人民日报评价称，官微不是某个人的菜园子，想种什么菜就种什么菜，想施什么“肥”就施什么“肥”。面对舆论关切，不能不说话，更不能乱说话。人民日报批“济南公安怼网友”：别把官微当菜园子 ​,Mon Mar 27 11:25:03 +0800 2017,4089872710978616,福州晚报,31745, true,3,2447358,m,38,1,4,2447358,648,2
4090973308670311,#刺死辱母者被判无期#  有人说苏银霞还掉的钱比借的多了，还抵押了房子。首先房产证没有过户，还是苏银霞自己的。其次你们说她借100多万还200万，但是按照她借的时候的协议利率算她并没还清。且先不要说高利贷合不合法，她自己当初愿意按照那种利率借的高利贷。好比一人跟你借钱100万，三年后连利息还你300万，而房价涨了10倍，你会感激那200万利息吗？,Thu Mar 30 12:18:26 +0800 2017,4090973308670311,普渡哥,9626, true,0,95882,m,35,7,36,95882,1112,68
4091050640007804,重磅文章：《对比辱母案：“拔枪击毙美帝盗匪之闽女”则犯故意伤害罪！》【不做温水之蛙】当人们都对此麻木与冷血，那么总有一天自己也会在平静中被“煮”死为止，所以要为二审争取一个“公正公平， 惩恶扬善”的结果而努力！ 对比辱母案：“拔枪击毙美帝盗匪之闽女”则犯故意伤害罪！ ​,Thu Mar 30 17:25:42 +0800 2017,4091050640007804,蓝羽时评,6687, false,-1,5479,m,32,106,81,5479,2632,59
4089683648650813,周末外出小旅游，回来上网一看，满屏都是山东“辱母杀人”事。各种评论和舆论声。仁者见仁。我要说，在没有弄明白事情的来龙去脉时，我们要做个理智清醒的围观者，不要起哄推动舆论，来道德绑架法律，更不能古板的云，杀人必须偿命。被侮辱，不是杀人的理由，也不是杀人无罪的根由。但杀了人，就要合情合理的去接受法律的制裁。因果，是一切事物的根本。既要维护法律权威，更要合情合理的量刑。,Sun Mar 26 22:53:47 +0800 2017,4089683648650813,紫霞郎的1978,7396, false,-1,8444,m,26,8,5,8444,1088,6
4089655835502610,#人民日报评辱母杀人案#  受辱母亲，。。。天，微博这一整天是怎么了评论底下有多少是带节奏的 于欢被判无期确实处罚太重。可是借高利贷之前有没有想过偿还能力呢。故事还有前半段，欠钱不还的人确实挺可气的。出这种事，高利贷就败在两个字，太贪。我的愿望是世界和平。 ​,Sun Mar 26 21:03:17 +0800 2017,4089655835502610,苏颜爱可,3246, true,0,256,f,22,1,7,256,498,29
4096024156804354,都看看吧，辱母案 #辱母杀人案引关注：警方涉嫌不作为 最高检已派员阅卷调查# 一起来看辱母杀人案引关注：警方涉嫌不作为 最高检已派员阅卷调查 (来自@腾讯视频) ​,Thu Apr 13 10:48:42 +0800 2017,4096024156804354,ry冰冷的梅花,119, false,-1,28,f,8,0,0,28,70,1
4090222172487204,【“刺死辱母者”背后：借贷的黄金时代，暴利与冷血交集】在高返佣制度的促使下，欠款人和催收者之间，矛盾急速加剧，针锋相对，“不死不休”。于欢的故事，就如一面照妖镜，折射了一个残忍的金融现状：在金钱和暴利的背后，是一张张冷血而麻木的面孔。 “刺死辱母者”背后：借贷的黄金时代，暴利与冷血交集 ​,Tue Mar 28 10:33:41 +0800 2017,4090222172487204,钱皓-互联网分析师,4247, true,0,524015,m,44,24,28,524015,672,11
4089516169444308,哪怕仅仅从法律层面分析，辱母案的于欢被判无期也很值得怀疑。首先，死者对其母亲的侮辱可被算作犯罪（侮辱妇女），至不济也是重大过错。于欢的杀人应当属于激情犯罪，而不是蓄意，有计划地杀人罪。法院认定的轻判是在什么基础的？是死者重大过失导致的激情杀人还是蓄意谋杀呢，两者有质的区别。 ​,Sun Mar 26 11:48:18 +0800 2017,4089516169444308,黑屋君,926, true,2,104656,m,18,6,2,104656,779,2
4089514466748255,#山东辱母杀人案# 看了一下，并不深入且全面了解内情，但表达一下意思：1 山东某地的环境氛围，不适合从商；2 辱母杀人，情有可原；3 辱人被杀者，咎由自取；4 “要账可以，但是不能动手打人”警方明显处理不当，要负责，甚至深查其中是否有利益及关系相关；5 被侮辱的女企业家值得同情，但必须反思：为何去借如此之高的高利贷？如果自身有一定资产、有个人信用、有企业信用，在银行是能贷到款的，亲戚、朋友、生意伙伴处，为何筹不到钱？仅借100多万就弄到如此境地，事前对风险评估也失当；6 一个人有信用，这是软实力，这种软实力=各渠道的借钱能力，请珍惜好自己的人缘与信用；7 但凡高利贷者，必然朝中有人，黑白道通吃，没有金刚钻不揽瓷器活；8 回归案件审判本身，排除情绪干扰，用一个朋友的理解：在美国案例法中，正当防卫成立有四个要素“受到非法暴力威胁”、“紧迫性”、“必要性”、“适当”。（1）非法暴力威胁：特指肢体和肉体伤害。本案中，法院称“被告人于欢及其母亲的生命健康权被侵犯的危险性较小”，但根据工厂有职工对离开的警察称他们母子死在里面怎么办？ 因此，这点的判断，要结合更多的事实；（2）紧迫性：意指生命的威胁是当下而不是未来；（3）必要性。是否有其他方式而不是暴力方式保护自己。案中，当事人被长时间非法凌辱，警察也混若无事离开，算失去其他念想了；（4）适当。别人若只是骂一下，杀了对方肯定不对。但对方施以极端凌辱，触犯尊严，面对11个催债人，旁边有把水果刀，从而不顾一切，行为上属于大众“能理解”范畴；9 美国案例法中，“受到极端的侮辱性攻击”是符合激情杀人的条件之一，这案的情形有点像。至少减轻很多；10 人应当理性，但在特殊时刻也有血性，否则也不是人，法律应当尊重这点。,Sun Mar 26 11:41:31 +0800 2017,4089514466748255,阳光inger2017,1086, true,0,9740,m,20,11,32,9740,98,14
4091313836224174,于欢判决书没有辱母情节 #刺死辱母者被判无期##于欢故意伤害案##辱母杀人案# 于欢判决书没有辱母情节。对于南方周末造谣在警方出警之前的辱母情节，在警方抵达现场后并没有证据证明讨债方实施辱母情节，反而在警方走到公司门口时，于欢实施暴力杀人，所以于欢不存在正当防卫情节。 ​,Fri Mar 31 10:51:34 +0800 2017,4091313836224174,王仁广,34766, true,0,29394,m,45,19,9,29394,4991,6
4090059977682725,如果有人拿聊城辱母案是南方周末报道，所以不可信来洗地，我只能说你妈给你生错了脑子。 ​,Mon Mar 27 23:49:12 +0800 2017,4090059977682725,树璺璺公馆,13138, false,-1,509,m,35,1,5,509,6417,0
4089257116950894,“辱母案”律师：警方涉嫌不作为 家属将起诉|民调 “辱母案”代理律师：警方涉嫌不作为 家属将起诉。这分明是警匪一家 ​,Sat Mar 25 18:38:54 +0800 2017,4089257116950894,ARTREE大艺树地板,6506, false,-1,4044,m,33,1,1,4044,4271,0
4089662450118438,#刺死辱母者被判无期# 纠结于正当防卫这些法理细节的时候，更不要忘了制定这些规则的最终目的是“惩恶扬善”。  ​ 商丘 ​,Sun Mar 26 21:29:33 +0800 2017,4089662450118438,商丘深度新闻,25724, true,3,42984,f,33,76,222,42984,512,42
4090378590219590,陈兴良等刑法学界21位著名专家评论山东聊城于欢“辱母杀人案”观点汇总（二审有望改判无罪）-广州刑事辩护律师网山东聊城“辱母杀人”案的判决让全国上下大吃一惊，所透射出社会的不公正和阴暗面说明：任何社会进步单单靠经济改革是无法完成的 网页链接 ​,Tue Mar 28 20:55:14 +0800 2017,4090378590219590,上海大学顾传青,16817, true,0,9074,m,35,9,13,9074,685,20
4089586734394564,#辱母杀人案#【关汉卿，来，我跟你谈谈于欢冤】《刺死辱母者》一文引爆了朋友圈，各种愤怒，不平！这样的结果并不意外。当没有人、没有法律、没有警察能保卫一个母亲的尊严，那么，只有孩儿自己来保卫！意外的是，我们的警察是干嘛吃的。如此的不作为，如此的渎职？百家作者/@端木赐香三糊涂 关汉卿，来，我跟你谈谈于欢冤,Sun Mar 26 16:28:41 +0800 2017,4089586734394564,百度百家,1500, true,2,34749,m,21,10,2,34749,391,1
4089591914851678,【揭秘：“辱母杀人案”媒体没有公布的几个细节】 揭秘：“辱母杀人案”媒体没有公布的几个细节急于表达自己的正义感本没有什么错，问题是，你真的了解全部事实真相么？听南都一说，马上激动得骂娘，骂所有冷静理性的网民，看上去很正直，其实是中了媒体的计。 ​,Sun Mar 26 16:49:16 +0800 2017,4089591914851678,如皋老猫,16070, true,0,122235,m,40,13,27,122235,2394,27
4108097431515550,大家还记得辱母杀人案吗？这个案件进展的如何呢？谁能解疑？@齐鲁晚报 @凤凰网 @聊城中院 @王尼玛 ​,Tue May 16 18:23:35 +0800 2017,4108097431515550,魯家贰掌柜,102, false,-1,274,m,19,0,1,274,879,4
4089635640586678,#人民日报评辱母杀人案#犯罪也许不是最可怕的，可怕的是有一天我们都不相信法律了，这是又让我想起了人民日报副主编卢新宁的那句话:我唯一的害怕，是你们已经不相信了——不相信规则能战胜潜规则，不相信学场有别于官场，不相信学术不等于权术，不相信风骨远胜于媚骨。我生活的这片土地真可怕,Sun Mar 26 19:43:01 +0800 2017,4089635640586678,ConcaCrush,85, false,-1,180,m,9,6,42,180,101,4
4091408983797864,刚刚消息：山东“刺死辱母案”于欢，终于判了！于欢被判“正当防卫”——无罪并当庭释放！！而吴学占等十余名黑恶势力被抓——等待法院判决…。[閃電][閃電][閃電] 网页链接 ​,Fri Mar 31 17:09:39 +0800 2017,4091408983797864,时尚时事品牌-张辛可,70775, true,0,148098,m,45,27,38,148098,2530,42
4094856912162389,生活中的谣言无处不在，最普遍的是两种啥食物一起吃会中毒的那种，仿佛人的胃是个纳粹的实验室，随时准备合成毒药。按照那么多的食物组合，人类还没灭绝就是奇迹。自以为能规避大部分的谣言，然而还时不时中套，最难识别的是那些诉诸正义唤起良心的新闻，比如魏则西事件和最近的辱母案，真相中其实也夹杂了许多谎言。最近得知关于可乐杀精和导致骨质疏松也是假的，不禁开始怀疑世界。这个谣言害得我每次喝可乐的快乐减少了一半。这类潜移默化而路人皆知如同常识一般的谣言危害最大。事实是，喝可乐只有对牙齿不好和容易增加体重，而好处是让人更快乐，给优点和缺点各乘以一个参数，就能计算出每天真正应该喝的毫升数了。下次碰到值得怀疑的事情，最好还是查清楚是哪一篇论文哪一个真实存在的人说的，直接给结论不给证明过程都是耍流氓的行为。,Mon Apr 10 05:30:29 +0800 2017,4094856912162389,艾司姬魔仁,264, false,-1,75,m,23,0,0,75,71,1
4089525665334163,山东高院重审上诉案。最高检派员调查。个人以为，于欢正当防卫没错，被杀者死有余辜。山东聊城“辱母杀人案”一审判决书全文披露【锐评】辱母杀人案：法律如何回应伦理困局#刺死辱母者被判无期##山东于欢案##乞丐说事# @人民日报 @山东高院 ​,Sun Mar 26 12:26:02 +0800 2017,4089525665334163,贵族乞丐,15553, true,0,475796,m,40,13,165,475796,258,29
4089948833887725,起底辱母案催债团伙头目：赌场放水 催债手段无下限-民生之声 网页链接 ​,Mon Mar 27 16:27:32 +0800 2017,4089948833887725,民生网郝国中,3593, true,0,120686,m,27,1,0,120686,845,0
4089503859653119,#刺死辱母者被判无期#非法高利贷—“专业”催债—人身被胁迫受辱—警察只管打架—激化成血案—依刑法判命案，又现#我不是潘金莲# ，一审判决书虽有错字，看点颇多！ ​,Sun Mar 26 10:59:22 +0800 2017,4089503859653119,传说中的一级军士长,4065, true,0,5214,m,34,2,18,5214,1060,2
4089594451874000,辱母杀人案经过几天发酵事件起因及过程已大白于天下。我想，随着人工智能技术的日臻成熟和完善，是否将来可以淘汰法官这个职业，毕竟机器在机械运用法条方面比人更可靠。 ​,Sun Mar 26 16:59:21 +0800 2017,4089594451874000,黑岩漠之解放,169, false,-1,143,m,27,2,40,143,117,13
4089539540496800,辱母案曝光时，恰巧在聊城市，朋友讲述了事情的经过，莫名愤怒从心头涌起，又参杂着一丝不安，愤怒的是母亲被凌辱，儿子愤而杀人，却被判故意杀人，明明是家人受到威胁，保护家人何来的故意杀人，这种人该杀该死！不安的是，本以为如今是法制社会，我们这些人民的人身安全应受到某些部门保护，可却在需要他们帮助时，却视而不见，要你们何用，狗还知道忠心护主，而为人民服务的你们呢？这只是社会阴暗角落被曝光的一角而已，若不是被曝光，社会多少此类事件会被埋没，多少人被逼的走投无路！ 聊城,Sun Mar 26 13:21:09 +0800 2017,4089539540496800,电影人左古右月,218, true,0,1887,m,9,1,13,1887,252,0
4090765065555741,#刺死辱母者被判无期#挂一篇弱智狗的洗地文。有人问为什么如此弱智，根本的原因他们是主义生物。伦理 道德 契约 自由 都不比主义正确来得重要。真得很烦那些有点文化的出来装逼。没有观点不叫报道。南周的观点是警察在非法绑架拘禁侮辱中国公民时不作为，引发随后惨剧。所写的的事实很好支持观点。至于苏欠债和集资和南周观点有关吗，有或无影响结论吗？什么叫选择事实/事实不全面？与报道观点无关都要写，是不是从她出生第一天写起才全面？这帮弱智的根本目的是保护主子，见到警察形象有损，比死了亲爹还急。洗地的弱智们觉得冤死了，好像写成黑吃黑 当时警察的做派就是合理似的。法院判决书像圣经圣旨一般，你个李东雷到下面问问聂树斌 呼图格日答应不答应[抠鼻][抠鼻] 南周写得篇 其他媒体倒是也去报道啊，百家齐鸣 什么信息藏得住。一边是新闻管制 大部分主流官媒对类似新闻置若罔闻，一面有人报道了就放狗出来咬，说带偏节奏。岂有文章倾社稷，从来佞幸覆乾坤！,Wed Mar 29 22:30:57 +0800 2017,4090765065555741,拼爹VS坑爹的时代,2072, false,-1,248,m,24,1,10,248,275,0
4089629378204954,@济南公安 也没想到这些驴子们一起叫起来声音居然能这么吓人，差点把大巴车都震倒了！#济南公安回应怼网友##人民日报评辱母杀人案#其实，正义的人从来都不少，只不过正义的人力量太小了，就算把他们都聚集起来，变大的只不过是声音罢了！这声音震不醒世间，但震倒个大巴是不是绰绰有余？#小人物看新闻讲段子#,Sun Mar 26 19:18:08 +0800 2017,4089629378204954,小人物king,1208, true,0,2261,m,24,2,38,2261,463,20
4089356388197328,如果未掌握全面情况，媒体最好别急于得出自己的结论。专业办案人员绝大多数也有一般人的感情，若非案情与传言有出入以及法律的刚性规定，他们没有理由...//【中青报评辱母案:请给公民战胜邪恶的法律正义】  中青报评刺死辱母者被判无期 ​,Sun Mar 26 01:13:22 +0800 2017,4089356388197328,大耳广,6933, false,-1,240,m,33,2,1,240,43,8
4089534989598373,【辱母杀人，谁来保护掉入高利贷陷阱的人们？ 】山东辱母杀人和山东电信诈骗女大学生事件充分说明人民对警察的信任和依赖。危难时刻的救命稻草，如果这一点希望破灭了，随之而来的是就是极端的惊慌和恐惧。 辱母杀人，谁来保护掉入高利贷陷阱的人们？ ​,Sun Mar 26 13:03:04 +0800 2017,4089534989598373,三联生活周刊,25775, true,3,12448302,m,43,213,452,12448302,358,472
4089785255383171,最近刷屏的辱母案。三点：1.古人讲，辱及父母，祸及杀身；2.复仇的权利先于一切立法者而存在；3.中国的左派和右派在这次事件中互相调换了位置，念着对方的讲稿，端的是有趣。。。。 英国·伦敦 ​,Mon Mar 27 05:37:32 +0800 2017,4089785255383171,老干部Tomson,435, false,-1,88,m,9,1,0,88,140,0
4089685531794125,#辱母杀人案##人民日报评辱母杀人案##山东聊城的辱母杀人案判决书# 我始终认为，把法律变成社会之下的一张电网是危险的，它不分情况和原因，只要违反了人们共同的规定，就必须付出代价，但我们之所以为人，就是我们拥有动物所没有的道德伦理，价值观念和行为准则。一定不要让人们对社会失望啊 ​,Sun Mar 26 23:01:16 +0800 2017,4089685531794125,是小姐姐啊喂,143, false,-1,4,f,9,1,16,4,53,14
4105767675824599,我抽烟抽的我的肺都黑了就像这社会被人心笼罩着它也是黑的辱母杀人 众说纷纭佛家说烦恼即是菩提暂且不提，救我王愚 ​,Wed May 10 08:05:57 +0800 2017,4105767675824599,予你异见上我镣铐,902, false,-1,763,f,26,0,3,763,291,0
4093804439354178,事不闹大上面就是睁只眼闭只眼，一个辱母案一个泸州学生事件可见社会的现实问题 ​,Fri Apr 07 07:48:20 +0800 2017,4093804439354178,杰之皇天,702, false,-1,113,m,14,2,5,113,30,6
4090050038030201,#刺死辱母者被判无期#清华法学院教授周光权认为，本案中：11个人高马大的职业讨债者、黑社会爪牙为索取非法债务拘禁、寻衅滋事6小时；陷入绝望、已然彻底奔溃的被害人又遭受多人强力压制，此刻的不法侵害人不是行凶又是什么？#人民日报评辱母杀人案##刺死辱母者# ​,Mon Mar 27 23:09:41 +0800 2017,4090050038030201,娱乐星闻联播,5604, true,0,187227,m,35,3,62,187227,214,17
4089346459787444,【媒体评“辱母杀人案”：期待“正义的理据或修订” 】社论丨辱母案：期待&amp;ldquo;正义的理据或修订&amp;rdquo;&amp;nbsp;山东冠县&amp;ldquo;辱母杀人案&amp;rdquo;成为这几天的舆论热点。2016年4月14日，22岁的于欢和母亲苏银霞被11名催债 （分享自 @凤凰网） 媒体评“辱母杀人案”：期待“正义的理据或修订” ​,Sun Mar 26 00:33:55 +0800 2017,4089346459787444,道行天下张成来,10409, true,0,182535,m,38,2,8,182535,2499,1
4104120149117728,近期有人钻法律的空子，抢占强挖我博兴县纯化镇东王文村土地，村民手无寸铁，保护自己的土地，反被讹，国家法律的不健全，让辛辛苦苦的农民无处诉苦，眼看着土地流失，我们想要的只是法律的公平，执法部门的公正，还我们，土地！希望有关部门能关注，保护村民，还法律公正，不要再让类似聊城“辱母案”再次发生。让十九大顺利召开！@滨州情报局长  @滨州同城  @博兴新鲜事儿 网页链接 .,Fri May 05 18:59:17 +0800 2017,4104120149117728,鲁能--NANI-17,888, false,220,269,m,24,1,3,269,258,1
4089519995299970,辱母案的另一层思考 ​,Sun Mar 26 12:03:29 +0800 2017,4089519995299970,肉天顺,2839, false,-1,1258,m,30,3,14,1258,132,0
4089838795640805,#辱母杀人案##于欢事件#他看见法制没了，于是拿起了那把刀。 当他拿起了那把刀，于是法制又回来了。我不敢认真去看这件事，因为真的太心疼了。我只能说，无期徒刑真的判重了，但是说无罪也太不理智。我还是相信正义不会缺席。 ​,Mon Mar 27 09:10:17 +0800 2017,4089838795640805,爱小五的摩羯,2515, false,-1,651,f,30,1,9,651,170,1
4089650455412385,#淼言淼语#人民日报这个定调很好。引导舆论导向，符合人民利益。不曾忘记一起扶老太太案件，让国内百姓彻底失去了搀扶老人的信心。打赏@人民日报 的文章《辱母杀人案：对司法失去信任才是最可怕的》，加油！#微博打赏#辱母杀人案：对司法失去信任才是最可怕的 ​,Sun Mar 26 20:41:52 +0800 2017,4089650455412385,森淼淼v,33558, true,0,114859,f,39,2,5,114859,2416,1
4102383035855449,独家披露爆料辱母案真相，请大家转发评论！呼吁天下良知捍卫人类尊严！ 秒拍视频 . ​,Sun Apr 30 23:56:38 +0800 2017,4102383035855449,俏妆私护,1240, false,220,3305,m,18,3,1,3305,1560,1
4089521627103490,【辱母案最新进展：最高人民检察院派员赴山东调查】最高人民检察院发文称，已派员赴山东阅卷并听取山东省检察机关汇报，正在对案件事实、证据进行全面审查。对于欢的行为是属于正当防卫、防卫过当还是故意伤害，将依法予以审查认定；对媒体反映的警察在此案执法过程中存在失职渎职行为，将依法调查处理。辱母案最新进展：最高人民检察院派员赴山东调查,Sun Mar 26 12:09:58 +0800 2017,4089521627103490,21世纪经济报道,34303, true,3,14958968,m,42,296,393,14958968,582,0
4090763459230781,我回答了 @果冻呀果冻菠菜呀菠菜 的问题，问题价值￥3.80，大家快来花1元围观~ 微博问答 ​,Wed Mar 29 22:24:34 +0800 2017,4090763459230781,高富强,13933, true,0,11663,m,38,1,1,11663,2841,0
4092569509971103,#人民的名义#第九，第十集。人民的名义为什么好？就是因为这部剧立足反贪，却不局限于官场，从经济，社会多个层面展现了当代中国的很多问题。今天又不失时机蹭了一个最近很火的高利贷的热点。蔡成功的经历和聊城辱母案被告人的母亲简直如出一辙，后面的剧情会提到，他也为了周转搞非法集资，向银行骗贷，也曾被高利贷黑社会追杀，也曾被非法拘禁。民营企业一步步从做实业堕落到搞金融。银行贷款给他工作人员要收取好处费，而放高利贷给他的正是贪官污吏和特权阶层。在他走投无路时，还要通过设局巧取豪夺他和工人们共有的大风股权。蔡成功虽不算什么正面角色，但无疑也是腐败的受害者。 福安市,Mon Apr 03 22:01:09 +0800 2017,4092569509971103,李老三lcw,1234, false,-1,192,m,24,0,1,192,183,0
4093668329279935,山东“辱母案”涉事干警被查；沈德咏称司法审判不能违背人之常情 山东“辱母案”涉事干警被查；沈德咏称司法审判不能违背人之常情 ​,Thu Apr 06 22:47:29 +0800 2017,4093668329279935,ARTREE大艺树地板,6506, false,-1,4044,m,33,0,0,4044,4271,0
4089460415174360,“刺死辱母案”最荒谬的是，警察在现场既没有保护于欢母子，也没能保护杜志浩。这才搞得现在大家吵吵闹闹，讨论私刑到底对不对。如果一个地方的警力弱到这种地步，谁应该对此负责呢？普通居民又该怎么办呢？真的，不处理好这个问题，后患无穷。 ​,Sun Mar 26 08:06:44 +0800 2017,4089460415174360,徐蕴芸,10022, true,0,318111,f,38,291,218,318111,451,159
4089601981340512,#儿子刺死辱母者#于欢案件估计明后天就要反转了，故事套路都是这样的。希望各位保持理智，不要在本案件中研究于欢他妈有没有欠账、赖账问题。这是另外一个事，如果后续查出其有犯罪事实可以严惩，但就仅仅目前黑社会威胁、凌辱事件中，于欢做的是每一个儿子都会做的……别教育及普及知识，我知道于欢有罪……,Sun Mar 26 17:29:16 +0800 2017,4089601981340512,公考讲师刘文波,4385, true,0,158280,m,41,8,92,158280,166,42
